date,station,swe_name,lat_name,count,factor
2008-02-08,Stockholm,Al,Alnus,5,1.2
2008-02-08,Stockholm,Hassel,Corylus,1,1.2
2008-02-09,Stockholm,Hassel,Corylus,2,1.2
2008-02-12,Stockholm,Al,Alnus,1,1.2
2008-02-12,Stockholm,Hassel,Corylus,9,1.2
2008-02-13,Stockholm,Al,Alnus,2,1.2
2008-02-13,Stockholm,Hassel,Corylus,7,1.2
2008-02-14,Stockholm,Al,Alnus,2,1.2
2008-02-14,Stockholm,Hassel,Corylus,2,1.2
2008-02-15,Stockholm,Al,Alnus,1,1.2
2008-02-15,Stockholm,Hassel,Corylus,1,1.2
2008-02-16,Stockholm,Al,Alnus,1,1.2
2008-02-16,Stockholm,Hassel,Corylus,2,1.2
2008-02-17,Stockholm,Al,Alnus,1,1.2
2008-02-17,Stockholm,Hassel,Corylus,2,1.2
2008-02-18,Stockholm,Al,Alnus,6,1.2
2008-02-18,Stockholm,Hassel,Corylus,4,1.2
2008-02-22,Stockholm,Al,Alnus,3,1.2
2008-02-22,Stockholm,Björk,Betula,3,1.2
2008-02-22,Stockholm,Hassel,Corylus,11,1.2
2008-02-23,Stockholm,Al,Alnus,7,1.2
2008-02-23,Stockholm,Björk,Betula,1,1.2
2008-02-23,Stockholm,Hassel,Corylus,4,1.2
2008-02-24,Stockholm,Al,Alnus,12,1.2
2008-02-24,Stockholm,Hassel,Corylus,1,1.2
2008-02-25,Stockholm,Al,Alnus,39,1.2
2008-02-25,Stockholm,Hassel,Corylus,5,1.2
2008-02-26,Stockholm,Al,Alnus,3,1.2
2008-02-26,Stockholm,Hassel,Corylus,2,1.2
2008-02-27,Stockholm,Al,Alnus,3,1.2
2008-02-27,Stockholm,Hassel,Corylus,1,1.2
2008-02-28,Stockholm,Al,Alnus,38,1.2
2008-02-28,Stockholm,Hassel,Corylus,1,1.2
2008-02-29,Stockholm,Al,Alnus,20,1.2
2008-02-29,Stockholm,Hassel,Corylus,1,1.2
2008-02-28,Eskilstuna,Al,Alnus,6,1.2
2008-02-28,Eskilstuna,Hassel,Corylus,1,1.2
2008-02-29,Eskilstuna,Al,Alnus,8,1.2
2008-02-29,Eskilstuna,Hassel,Corylus,2,1.2
2008-03-01,Eskilstuna,Al,Alnus,1,1.2
2008-03-03,Eskilstuna,Al,Alnus,5,1.2
2008-03-04,Eskilstuna,Al,Alnus,14,1.2
2008-03-04,Eskilstuna,Hassel,Corylus,1,1.2
2008-03-05,Eskilstuna,Al,Alnus,13,1.2
2008-03-06,Eskilstuna,Al,Alnus,22,1.2
2008-03-07,Eskilstuna,Al,Alnus,3,1.2
2008-03-07,Eskilstuna,Hassel,Corylus,1,1.2
2008-03-08,Eskilstuna,Al,Alnus,4,1.2
2008-03-08,Eskilstuna,Hassel,Corylus,2,1.2
2008-03-09,Eskilstuna,Al,Alnus,2,1.2
2008-03-10,Eskilstuna,Hassel,Corylus,1,1.2
2008-03-11,Eskilstuna,Al,Alnus,6,1.2
2008-03-11,Eskilstuna,Hassel,Corylus,1,1.2
2008-03-12,Eskilstuna,Al,Alnus,3,1.2
2008-03-12,Eskilstuna,Hassel,Corylus,1,1.2
2008-03-14,Eskilstuna,Al,Alnus,6,1.2
2008-03-15,Eskilstuna,Al,Alnus,11,1.2
2008-03-15,Eskilstuna,Hassel,Corylus,1,1.2
2008-03-16,Eskilstuna,Al,Alnus,11,1.2
2008-03-16,Eskilstuna,Hassel,Corylus,2,1.2
2008-03-17,Eskilstuna,Al,Alnus,12,1.2
2008-03-17,Eskilstuna,Hassel,Corylus,2,1.2
2008-03-01,Stockholm,Al,Alnus,5,1.2
2008-03-17,Eskilstuna,Alm,Ulmus,2,1.2
2008-03-18,Eskilstuna,Al,Alnus,2,1.2
2008-03-18,Eskilstuna,Hassel,Corylus,1,1.2
2008-03-19,Eskilstuna,Al,Alnus,1,1.2
2008-03-19,Eskilstuna,Sälg och viden,Salix,2,1.2
2008-03-02,Stockholm,Al,Alnus,1,1.2
2008-03-02,Stockholm,Björk,Betula,1,1.2
2008-03-20,Eskilstuna,Al,Alnus,1,1.2
2008-03-21,Eskilstuna,Al,Alnus,6,1.2
2008-03-21,Eskilstuna,Hassel,Corylus,1,1.2
2008-03-21,Eskilstuna,Alm,Ulmus,1,1.2
2008-03-22,Eskilstuna,Al,Alnus,2,1.2
2008-03-23,Eskilstuna,Al,Alnus,1,1.2
2008-03-03,Stockholm,Al,Alnus,6,1.2
2008-03-24,Eskilstuna,Alm,Ulmus,1,1.2
2008-03-25,Eskilstuna,Al,Alnus,1,1.2
2008-03-25,Eskilstuna,Sälg och viden,Salix,1,1.2
2008-03-26,Eskilstuna,Al,Alnus,1,1.2
2008-03-26,Eskilstuna,Alm,Ulmus,1,1.2
